Year,Age Groups,Ratio
2010,All ages estimate,0.32
2010,Adults 15+,0.37
2010,Adults 15-24,0.56
2010,Adults 15-49,0.48
2010,Adults 50+,0.09
2011,All ages estimate,0.3
2011,Adults 15+,0.36
2011,Adults 15-24,0.54
2011,Adults 15-49,0.47
2011,Adults 50+,0.08
2012,All ages estimate,0.29
2012,Adults 15+,0.35
2012,Adults 15-24,0.53
2012,Adults 15-49,0.46
2012,Adults 50+,0.08
2013,All ages estimate,0.28
2013,Adults 15+,0.34
2013,Adults 15-24,0.51
2013,Adults 15-49,0.44
2013,Adults 50+,0.08
2014,All ages estimate,0.27
2014,Adults 15+,0.33
2014,Adults 15-24,0.49
2014,Adults 15-49,0.43
2014,Adults 50+,0.08
2015,All ages estimate,0.26
2015,Adults 15+,0.32
2015,Adults 15-24,0.47
2015,Adults 15-49,0.41
2015,Adults 50+,0.08
2016,All ages estimate,0.25
2016,Adults 15+,0.3
2016,Adults 15-24,0.45
2016,Adults 15-49,0.39
2016,Adults 50+,0.07
2017,All ages estimate,0.24
2017,Adults 15+,0.29
2017,Adults 15-24,0.43
2017,Adults 15-49,0.38
2017,Adults 50+,0.07
2018,All ages estimate,0.23
2018,Adults 15+,0.28
2018,Adults 15-24,0.41
2018,Adults 15-49,0.37
2018,Adults 50+,0.07
2019,All ages estimate,0.22
2019,Adults 15+,0.27
2019,Adults 15-24,0.39
2019,Adults 15-49,0.37
2019,Adults 50+,0.07
2020,All ages estimate,0.22
2020,Adults 15+,0.27
2020,Adults 15-24,0.39
2020,Adults 15-49,0.37
2020,Adults 50+,0.07
