Country,lat,lon,Cases 2020,New Cases 2020,Total Deaths 2020
Afghanistan,33.93911,67.709953,10 000 ,1400,500
Albania,41.153332,20.168331,1400,100,100
Algeria,28.033886,1.659626,21 000 ,2000,200
Angola,-11.202692,17.873887,310 000 ,21 000 ,9000
Argentina,-38.416097,-63.616672,130 000 ,5800,1400
Armenia,40.069099,45.038189,3500,200,100
Australia,-25.274398,133.775136,29 000 ,1000,100
Azerbaijan,40.143105,47.576927,9600,1000,500
Barbados,13.193887,-59.543198,2700,100,100
Belarus,53.709807,27.953389,28 000 ,1900,200
Benin,9.30769,2.315834,69 000 ,3000,1900
Bolivia (Plurinational State of),-16.290154,-63.588653,19 000 ,1000,200
Botswana,-22.328474,24.684866,370 000 ,9300,4700
Brazil,-14.235004,-51.92528,3300,500,100
Bulgaria,42.733883,25.48583,92 000 ,1800,2400
Burkina Faso,12.238333,-1.561593,76 000 ,1100,1200
Burundi,-3.373056,29.918886,2400,10 000 ,100
Cabo Verde,7.539989,-5.54708,70 000 ,100,1300
Cambodia,16.002082,-24.013197,470 000 ,1000,12 000 
Cameroon,12.565679,104.990963,96 000 ,14 000 ,3200
Central African Republic,7.369722,12.354722,110 000 ,4400,2000
Chad,15.4542,18.7322,74 000 ,3600,3400
Chile,15.454166,18.732207,190 000 ,5100,100
Colombia,-35.675147,-71.542969,200,11 000 ,3500
Comoros,4.570868,-74.297333,96 000 ,100,200
Congo,-11.875001,43.872219,14 000 ,6500,100
Costa Rica,-0.228021,15.827659,1600,1000,500
Croatia,9.748917,-83.753428,32 000 ,100,11 000 
Cuba,45.1,15.2,400 000 ,1600,9600
Côte d'Ivoire,21.521757,-77.781167,460 000 ,15 000 ,500
Democratic Republic of the Congo,4.0383,21.7587,6200,100,1900
Djibouti,11.825138,42.590275,71 000 ,2700,1000
Dominican Republic,18.735693,-70.162651,46 000 ,2300,500
Ecuador,-1.831239,-78.183406,25 000 ,4800,1000
Egypt,26.820553,30.802498,26 000 ,1000,1500
El Salvador,13.794185,-88.89653,62 000 ,4700,500
Equatorial Guinea,1.650801,10.267895,13 000 ,500,2100
Eritrea,15.179384,39.782334,190 000 ,4200,9500
Eswatini,26.5225,31.4659,630 000 ,12 000 ,100
Ethiopia,9.145,40.489673,1000,200,500
Fiji,-16.578193,179.414413,190 000 ,200,1000
France,46.227638,2.213749,48 000 ,1200,1000
Gabon,-0.803689,11.609444,26 000 ,2000,100
Gambia,13.443182,-15.310139,9000,17 000 ,11 000 
Georgia,42.315407,43.356892,320 000 ,1 500 000 ,1100
Ghana,7.946527,-1.023194,35 000 ,1100,2300
Guatemala,15.7835,90.2308,100 000 ,4100,1200
Guinea,15.783471,-90.230759,37 000 ,1700,200
Guinea-Bissau,9.945587,-9.696645,8300,500,2200
Guyana,11.803749,-15.180413,150 000 ,5000,1000
Haiti,4.860416,-58.93018,24 000 ,1000,2500
Honduras,18.971187,-72.285215,58 000 ,4000,100
Iran (Islamic Republic of),15.199999,-86.241905,7500,2500,1000
Ireland,32.427908,53.688046,130 000 ,1600,1000
Italy,53.41291,-8.24389,32 000 ,3600,500
Jamaica,41.87194,12.56738,33 000 ,35 000 ,17 000 
Kazakhstan,18.109581,-77.297508,1 400 000 ,1000,200
Kenya,48.019573,66.923684,9700,1000,500
Kyrgyzstan,-0.023559,37.906193,13 000 ,500,100
Lao People's Democratic Republic,41.20438,74.766098,5600,200,100
Latvia,56.8796,24.6032,2700,10 000 ,4300
Lebanon,56.879635,24.603189,330 000 ,1900,1700
Lesotho,33.854721,35.862285,43 000 ,500,500
Liberia,-29.609988,28.233608,9200,500,100
Libya,6.428055,-9.429499,3400,5400,1100
Lithuania,26.3351,17.228331,37 000 ,30 000 ,11 000 
Madagascar,55.169438,23.881275,1 000 000 ,6300,2700
Malawi,-18.766947,46.869107,87 000 ,1000,4000
Malaysia,-13.254308,34.301525,130 000 ,100,500
Mali,4.210484,101.975766,5300,100,100
Mauritania,17.570692,-3.996166,11 000 ,1000,100
Mauritius,21.00789,-10.940835,1000,120 000 ,500
Mongolia,-20.348404,57.552152,500,9100,42 000 
